Wv_lbounds,Wv_ubounds,Gauss_amp,Gauss_mu,Gauss_sig,FitType
4470.73727624778,4471.03176134113,0.5824021655943055,4470.8911337559675,0.044529166806790914,0.0
4471.444040471811,4471.84790574269,0.6330621725339626,4471.611135401868,0.04613463170230725,0.0
4471.86473346231,4472.1255631164095,0.48537814469512813,4472.00211543164,0.041593833661469626,0.0
4472.89818105073,4473.04551554996,0.01006633206146023,4472.951286204728,0.026961661287963363,0.0
4473.06188604988,4473.20922054911,0.024268062312104727,4473.167998640856,0.02556949429137698,0.0
4473.22559104902,4473.331999298471,0.03425674156367762,4473.2736939478855,0.02372298190775564,0.0
4473.63485354688,4473.86404054568,0.4775554684090913,4473.694044106531,0.05365321653182959,0.0
4474.42063754277,4474.6825655414,0.10486871689646518,4474.548127388754,0.06270786811294685,0.0
4474.69893604132,4475.0263460396,0.06273751137639408,4474.842183191824,0.06494940033470957,0.0
4475.94309403481,4476.188651533521,0.22122423445210337,4476.063589150901,0.04447057219956524,0.0
4477.14374497831,4477.31063006324,0.03371292221301989,4477.143744978317,0.1128742746424229,0.0
4477.493408965779,4477.68413477713,0.012969576031311752,4477.6188407695645,0.030891897189242585,0.0
4477.70002859474,4477.9066482237,0.10987179468010287,4477.817246103599,0.039161692637368135,0.0
4477.92254204131,4478.09737403504,0.04126007323262275,4477.976808025281,0.05397941192573457,0.0
4478.11326785265,4478.35962202564,0.08776281394074148,4478.234366610533,0.04753445143167495,0.0
4478.6457107426595,4478.93974636849,0.27551889223177245,4478.782955489957,0.038272736378650536,0.0
4478.9556401861,4479.23378199431,0.17929655988186466,4479.089321809854,0.0478726689002178,0.0
4479.24967581193,4479.49602998491,0.14434813996715415,4479.381294265361,0.05065318376379308,0.0
4479.51192380253,4479.67086197865,0.048368110644497496,4479.589843817484,0.049004151110308806,0.0
4479.686755796261,4479.89337542522,0.04803898015313662,4479.750560087679,0.03224749744543212,0.0
4479.909269242829,4480.2430394126895,0.28401660654771893,4480.142342593197,0.04017092940116694,0.0
4480.58994735863,4480.80573929252,0.5455164458203459,4480.727110671607,0.042863356469780435,0.0
4484.01949773656,4484.16592797741,0.01383262124221063,4484.109891246001,0.01778255190998865,0.0
4484.18134168697,4484.42988523779,0.034038947909074455,4484.31481704717,0.052941307224020184,0.0
4484.44480969069,4484.60151644615,0.2153761770035356,4484.540838125501,0.03492656315571457,0.0
4484.6089786726,4484.788072107411,0.19665986136321673,4484.668023375388,0.04317202370276592,0.0
4484.79553433386,4485.168645656389,0.7641531019594464,4484.986062083431,0.05465284168720159,0.0
4485.18357010929,4485.377587997,0.05819803782487406,4485.27119861167,0.05473671803967231,0.0
4485.51937029956,4485.661152602121,0.0,4485.58901774644,0.028356460512077318,0.0
4485.683539281479,4485.90740607499,0.016608230446940493,4485.846922314518,0.02115344279859577,0.0
4485.91486830144,4486.0417261511,0.008028359835428635,4485.955228083246,0.01725817352085796,0.0
4486.62377981424,4486.87003328711,0.26817664980260814,4486.733331310549,0.036371055758358785,0.0
4486.8774955135605,4486.99689113677,0.007527666755447155,4486.968138438926,0.0216201906566303,0.0
4487.004353363221,4487.19090902448,0.010406015925106744,4487.049098894138,0.021576980304983086,0.0
4487.20583347738,4487.414775818,0.0178082804426703,4487.388075593019,0.05606242257508944,0.0
4489.000957722979,4489.303804328561,0.5340441433369866,4489.0901065907765,0.04334755530027163,0.0
4489.48407016521,4489.76528487039,0.5504799649081905,4489.669031316578,0.043424009200361956,0.0
4490.13302717717,4490.33492491422,0.23603406160206536,4490.229870594212,0.04286144346058466,0.0
4490.34934618116,4490.6810353206,0.8241762333671965,4490.5075671064515,0.05030463605784283,0.0
4491.423730567621,4491.74820907359,0.7010105596727889,4491.540804535228,0.05757635084693514,0.0
4491.7626303405295,4491.99337061145,0.015675322327758152,4491.870264285791,0.03650895064350302,0.0
4492.33019155026,4492.51789970437,0.3004028329642652,4492.420863762156,0.0396719041111257,0.0
4492.531804012079,4492.7195121662,0.15793723437664148,4492.611566198823,0.03610064190906848,0.0
4492.93502893574,4493.192258628421,0.3342044204072475,4493.070761908725,0.03898860293599128,0.0
4493.20616293613,4493.33130170554,0.09724432275000948,4493.301273348051,0.040748391834215206,0.0
4493.34520601325,4493.61634001364,0.438860601072944,4493.4448968859515,0.04161446431418929,0.0
4494.0404213988595,4494.18641662984,0.1190206199076438,4494.142655864577,0.03394797352850929,0.0
4494.200320937561,4494.40888555324,0.39949405810563976,4494.28778170139,0.03975086013718367,0.0
4494.42278986095,4494.56183293807,0.04936826147411181,4494.504125467454,0.05656404827497915,0.0
4495.931407247729,4496.07045032486,0.10611268803183294,4496.028037975647,0.04305105854858242,0.0
4496.0843546325705,4496.251206325121,0.31812211701374676,4496.179797795681,0.0471514989249716,0.0
4496.5764140306,4496.81136023134,0.5465036891518354,4496.718383871055,0.04162461600651958,0.0
4497.15162714277,4497.459487681671,0.08343789008068545,4497.311686672734,0.07263995045883902,0.0
4498.08331035262,4498.23724062207,0.020068245747083463,4498.179733731983,0.03793896698386264,0.0
4498.95018081744,4499.15272064567,0.05231667630013886,4499.041519063783,0.03627194502555157,0.0
4499.1689238319295,4499.37146366016,0.06400612334497786,4499.330073288923,0.04990705198192181,0.0
4499.38766684641,4499.557800302129,0.3334185691767045,4499.49040025591,0.03914904620195133,0.0
4500.18162297307,4500.3507625379,0.02150045794267259,4500.226283369348,0.03228109433275279,0.0
4501.24619354577,4501.5873101202005,0.18943428958182687,4501.398802324293,0.04366598038253002,0.0
