,Unnamed: 0,Unnamed: 0.1,Wv_lbounds,Wv_ubounds,Minflux,MinWvl,Maxflux,Gauss_amp,Gauss_mu,Gauss_sig
0,0,0,4464.85549799105,4465.314776128929,0.284363187401919,4465.20728550091,1.02519955471574,0.7168609604824291,4465.208854900721,0.046531087539008587
1,1,1,4465.33431987948,4465.61770426242,0.26821754199485803,4465.441810507489,0.9043050450839959,0.7373374884938011,4465.473973855398,0.0743064632620438
2,2,2,4465.79359801735,4466.00857927338,0.7630498064550569,4465.891316770089,0.938086615830249,0.15804243521505182,4465.8452046731545,0.1863846476376543
3,3,3,4466.02812302393,4466.2528761552285,0.703618641012898,4466.12584177667,1.00259669397019,0.29888787330544847,4466.113852924336,0.04108072269485366
4,4,4,4466.29196365633,4466.409226159621,0.9731493209934592,4466.36036678325,1.00603401151688,0.022243566942376575,4466.359241202041,0.019576858908005354
5,5,5,4466.43854178544,4466.73169804366,0.5380041073337439,4466.565576164,1.01630604721534,0.46072987221038864,4466.567930618164,0.03892607287089157
6,6,6,4466.77078554476,4466.99553867606,0.9086703835980441,4466.92713554914,1.01759026363907,0.08748567248432959,4466.919477635452,0.03918234551120495
7,7,7,4467.02485430188,4467.18120430627,0.614209969498192,4467.15188868044,0.983522739219183,0.3438502991098762,4467.141859137699,0.04118773193660766
8,8,8,4467.20074805681,4467.50367619031,0.12673091339099501,4467.3180105601,0.930451089472049,0.878212799686441,4467.320875967507,0.0694938922901137
9,9,9,4467.52321994086,4467.875007450721,0.407635020334937,4467.6991136957895,1.00624248379558,0.5764274192294399,4467.680844685245,0.05818037277802051
10,10,10,4468.01181370456,4468.19747933476,0.8683204296477041,4468.09976058202,0.9624961227216072,0.11649363548784372,4468.098698842861,0.05654926355868963
11,11,11,4468.22679496058,4468.4318786598715,0.840867510604767,4468.3147418380495,0.9920773807083281,0.153214973912625,4468.311649658277,0.04532877461392331
12,12,12,4468.4487063794895,4468.69270831398,0.8532865843468229,4468.591741996261,0.992452129900734,0.14392908378029723,4468.59513022132,0.056090361710604615
13,13,13,4468.7095360336,4468.86098551017,0.908796369284482,4468.7431914728295,0.976013495124183,0.07085062777989719,4468.729513770648,0.1514494765706331
14,14,14,4468.945124108271,4469.63506061268,0.13977629666605498,4469.25643692124,0.996569115671269,0.8531037556167651,4469.256718142176,0.06986588638481432
15,15,15,4469.6518883323,4469.99685658451,0.440554446684303,4469.91271798641,0.9957597192564828,0.5416277828201852,4469.91606548588,0.04780477526321269
16,16,16,4470.01368430413,4470.2408585190005,0.192095654631559,4470.1398922012795,0.7697833026336809,0.7938524790573379,4470.1361833706915,0.06304323366552951
17,17,17,4470.25768623862,4470.4091357152,0.5767048293618621,4470.31658325729,0.786607965128265,0.35928449805867424,4470.316930694039,0.04224007129740441
18,18,18,4470.425963434821,4470.72044852816,0.7463449944941171,4470.45961887406,0.9821597341506422,0.21942131482016033,4470.461791699375,0.07085854679332591
19,19,19,4470.73727624778,4471.03176134113,0.4097199554070999,4470.888725724361,0.9914959777722199,0.5824021655943055,4470.8911337559675,0.044529166806790914
20,20,20,4471.04017520094,4471.42721275219,0.282297222890216,4471.24210783637,0.992849398127272,0.7028424306378253,4471.242170752964,0.05253508370810187
21,21,21,4471.444040471811,4471.84790574269,0.358051475315253,4471.61231766801,1.00506217942349,0.6330621725339626,4471.611135401868,0.04613463170230725
22,22,22,4471.86473346231,4472.1255631164095,0.507926347577311,4471.99935521927,1.0062790506404,0.48537814469512813,4472.00211543164,0.041593833661469626
23,23,23,4472.35795455356,4472.52984480266,0.670590418443319,4472.43980705313,0.8992788867805259,0.24340749827764485,4472.419201235024,0.12372023579540369
24,24,24,4472.89818105073,4473.04551554996,0.9904867852726759,4472.94729255048,1.0110684508694001,0.01006633206146023,4472.951286204728,0.026961661287963363
25,25,25,4473.06188604988,4473.20922054911,0.9769616669948921,4473.16829429932,1.0113744626190602,0.024268062312104727,4473.167998640856,0.02556949429137698
26,26,26,4473.22559104902,4473.331999298471,0.9654754275804692,4473.28288779872,0.9893918384634459,0.03425674156367762,4473.2736939478855,0.02372298190775564
27,27,27,4473.348369798379,4473.61848304697,0.32962599424766903,4473.50388954757,0.9878046768682359,0.7157833599028492,4473.513684446467,0.06575020063166508
28,28,28,4473.63485354688,4473.86404054568,0.48476059612294203,4473.683965046621,0.982511860788379,0.4775554684090913,4473.694044106531,0.05365321653182959
29,29,29,4474.42063754277,4474.6825655414,0.8942668617428591,4474.57615729196,1.00570514013897,0.10486871689646518,4474.548127388754,0.06270786811294685
30,30,30,4474.69893604132,4475.0263460396,0.9357625198256401,4474.81352954072,1.00659978982521,0.06273751137639408,4474.842183191824,0.06494940033470957
31,31,31,4475.2146067886215,4475.39468228768,0.8409185235383799,4475.3128297881,0.9284074503480452,0.1352391354957475,4475.281348243583,0.1115348508559627
32,32,32,4475.41105278759,4475.73027753592,0.694223055266034,4475.60749878656,0.964968959709768,0.29610127705891276,4475.5657908123485,0.08559022125565098
33,33,33,4475.94309403481,4476.188651533521,0.7701416418956759,4476.06587278417,0.982682785218298,0.22122423445210337,4476.063589150901,0.04447057219956524
34,34,34,4476.52388609144,4477.119904251889,0.13194546511261598,4476.80202789965,0.9751185637106228,0.889526511661823,4476.80994738555,0.08570878300362374
35,35,35,4477.14374497831,4477.31063006324,0.9683565501614292,4477.19142643115,0.995457063561391,0.03371292221301989,4477.143744978317,0.1128742746424229
36,36,36,4477.493408965779,4477.68413477713,0.98815969802857,4477.60466568906,1.01219883178117,0.012969576031311752,4477.6188407695645,0.030891897189242585
