FitType,Gauss_amp,Gauss_mu,Gauss_sig,Wv_lbounds,Wv_ubounds
0.0,0.584979518344628,4470.891049196059,0.04342314838172497,4470.7366248245,4471.031318937172
0.0,0.6358872766140526,4471.611088109422,0.04521020653936667,4471.442865901385,4471.794670270253
0.0,0.48749812423164285,4472.001882319726,0.040483462956887296,4471.853219158459,4472.128907880402
0.0,0.0215609242610777,4473.169296788453,0.020558925579992886,4473.068847353499,4473.2179893979055
0.0,0.029326970480884545,4473.273522571514,0.01920547296850104,4473.22627037791,4473.333878217397
0.0,0.47765613714106947,4473.694051146263,0.05266152498986713,4473.631434214601,4473.862425195161
0.0,0.10309962412806284,4474.548508750346,0.05901289166450549,4474.405377805374,4474.692438893686
0.0,0.05825906913794318,4474.842224533103,0.061579558332615206,4474.700631806164,4475.027946255232
0.0,0.21900555887364684,4476.064255034927,0.04262702644785474,4475.932141691962,4476.1835895092745
0.0,0.011548214365387412,4477.617808696076,0.015604521866173258,4477.489994972333,4477.682452191331
0.0,0.10578673425784958,4477.817447860521,0.03795676075417843,4477.706489707354,4477.914632159246
0.0,0.03583796358585155,4477.979829224058,0.05128792123956155,4477.922631098362,4478.1064730646185
0.0,0.08715030208545474,4478.233001116146,0.04496221233376581,4478.114460384941,4478.345882226009
0.0,0.2786244719261385,4478.782721195121,0.03696348797580199,4478.6325988621975,4478.942502242436
0.0,0.17766958879510922,4479.088816080849,0.04612870194957201,4478.950438831512,4479.235834893214
0.0,0.1409591742139476,4479.381541687631,0.04970745754186955,4479.251671913616,4479.496899353645
0.0,0.04438105091150187,4479.588346162568,0.04739641238799934,4479.504802212084,4479.670651069896
0.0,0.044820748489752156,4479.747541213795,0.030137166669565726,4479.6785433419955,4479.875693846911
0.0,0.284287066028924,4480.14181805211,0.03930429898535269,4479.899331714893,4480.245523678973
0.0,0.0014673311997470489,4483.899592945222,0.000931961978592782,4483.8475707239595,4483.992564170585
0.0,0.008070034622361472,4484.107202695009,0.0183916422991211,4484.030691933092,4484.1754695241025
0.0,0.03361077359283231,4484.313630424449,0.046494639949839794,4484.183084665655,4484.418919472856
0.0,0.2188413603907435,4484.540645571948,0.03505245672900189,4484.434119019345,4484.601189274318
0.0,0.19815041840855943,4484.668414449531,0.04168464354936078,4484.608777943582,4484.783186993462
0.0,0.7688921389551484,4484.985124695518,0.05407572872803932,4484.790764329812,4485.176582834348
0.0,0.05887364832420132,4485.269876838177,0.048966851341806505,4485.176582834348,4485.372802647704
0.0,0.014641706715205286,4485.847974703989,0.021176731506823632,4485.749253605261,4485.907012203884
0.0,0.009345966372112718,4485.9646992309445,0.00934485828554154,4485.9295322174185,4486.019569962179
0.0,0.27059700539047915,4486.732501552022,0.03559022550867391,4486.6180930513265,4486.864109001223
0.0,0.0061416623287540726,4486.99807465558,0.03379143213582213,4486.871556061493,4486.998084400985
0.0,0.5374492964608127,4489.0894087361785,0.04307972207312488,4488.996856011442,4489.288978554245
0.0,0.5519229914061654,4489.668558431813,0.04314726622599752,4489.493021856429,4489.762092075479
0.0,0.23755122471791384,4490.2290274693,0.041661548369118194,4490.1246913659115,4490.3416947096475
0.0,0.8281813130231644,4490.506736740413,0.04985180340564261,4490.3416947096475,4490.6880332227665
0.0,0.7023010566188133,4491.540151974369,0.05747223649253262,4491.413307828817,4491.749206066085
0.0,0.014643965173977766,4491.867870973765,0.03133872074927839,4491.763477010982,4491.906085056897
0.0,0.3016564038909064,4492.420248023702,0.03922757295314622,4492.32570527056,4492.5242864592765
0.0,0.15656163087112124,4492.610815138267,0.03513845061157401,4492.5313719750875,4492.729579750849
0.0,0.33655453489303083,4493.070073831178,0.038585589951248896,4492.934486538484,4493.195358585973
0.0,0.09424769181087807,4493.299909006506,0.04021574898465141,4493.202400460285,4493.3361088928
0.0,0.43809883978980546,4493.444107842489,0.041314935701128194,4493.343141591029,4493.6170591349255
0.0,0.11589981492833287,4494.141744171553,0.03388686711839119,4494.016146378775,4494.190715339055
0.0,0.4001722493004903,4494.2870394758,0.03960718754239291,4494.197692148807,4494.406783746283
0.0,0.046483406010866056,4494.507165773463,0.05493921447833953,4494.41374637795,4494.54594952175
0.0,0.10456752778362645,4496.027529515921,0.04077885826119042,4495.9207024331145,4496.071577311387
0.0,0.31611268835102424,4496.179514274069,0.04731272921393303,4496.0784300273435,4496.254230104686
0.0,0.5483991844666375,4496.717559250828,0.04132751849287721,4496.5660962101865,4496.815132134695
0.0,0.08147003280085513,4497.3111037785275,0.07083404349558535,4497.152460684654,4497.4536485881545
0.0,6.266926130602159e-05,4498.049745368928,0.0004002062660632367,4497.9484231172555,4498.063050505856
0.0,0.018275049003298693,4498.178150185057,0.0334882345290389,4498.071864395611,4498.221621832054
0.0,0.04991389530988964,4499.040884077819,0.03515130711480093,4498.950659004889,4499.160806549764
0.0,0.06364001433034844,4499.329211126682,0.04984770296707964,4499.178305532696,4499.379396726378
0.0,0.3361843805871708,4499.4898270329995,0.038548344434163606,4499.388133683612,4499.554038738726
0.0,0.023879739697744234,4500.23227988227,0.025337452352279827,4500.172368318161,4500.354761988659
0.0,0.0,4500.710216972097,0.025979910447858856,4500.632263515229,4500.7621630674685
0.0,0.18798286396186778,4501.398425115103,0.04308481051883615,4501.246111587481,4501.57359927561
0.0,0.08210802268670718,4502.75102345623,0.04150112766747341,4502.662797569744,4502.833582964669
0.0,0.6203405692397873,4502.981166666749,0.04434204877685566,4502.84211694479,4503.114938487763
0.0,0.10562983142617206,4503.195395919069,0.042758423218254224,4503.123455857509,4503.259665373361
