,MJD,V,E_V,CHI2,FILENAME,SNR,EXPTIME,AIRMASS,WAVE_CAL,BARYCOR,RVEPOCH,ACCEPT
0,58266.45376616898,-3325044.332438141,45.63558226355521,294.184050038562,217014_180528.1133.fits,284.4038297905269,420.0029999999974,1.36705992203305,ThAr,chromatic,1,True
1,58266.45902890046,-3324841.94363533,46.01680787404793,277.9275523161265,217014_180528.1134.fits,280.6479685998378,420.0030000000021,1.33386165999945,ThAr,chromatic,1,True
2,58266.46428814815,-3324794.879042415,46.40893772838905,277.0660849944003,217014_180528.1135.fits,278.4938404170308,420.0019990000009,1.3757254532181,ThAr,chromatic,1,True
3,58267.45645944445,-3321729.916052816,50.23417051587442,259.0143857321955,217014_180529.1088.fits,265.6802444798099,420.0029999999974,1.3329603174608,ThAr,chromatic,1,True
4,58267.46174763889,-3321692.817156856,47.06680746121498,288.0989332263491,217014_180529.1089.fits,277.5793980453346,420.0029999999974,1.3024263319006,ThAr,chromatic,1,True
5,58271.45865622685,-3320354.002718039,57.39993979855438,187.6740609420034,217014_180602.1082.fits,197.577652546565,420.0029999999974,1.2613339850653,ThAr,chromatic,1,True
6,58271.46391315972,-3320391.302959808,59.08704764739856,180.0617308434555,217014_180602.1083.fits,201.475191242729,420.0030000000069,1.2366329551384,ThAr,chromatic,1,True
7,58274.45024300926,-3328584.570668975,77.74938893723645,104.0370923522824,217014_180605.1084.fits,178.7596494086968,420.0029999999974,1.2625307313272,ThAr,chromatic,1,True
8,58274.45551271991,-3328686.542195201,82.10103474619929,99.36876891087412,217014_180605.1085.fits,167.3629329004797,420.002001000001,1.23753126556475,ThAr,chromatic,1,True
9,58274.46076964121,-3328740.347692008,84.52491237116342,97.74766921377656,217014_180605.1086.fits,161.7987837580336,420.0020000000009,1.21446758289015,ThAr,chromatic,1,True
10,58276.46108215277,-3323418.069328462,82.71993924083687,89.26652205954686,217014_180607.1083.fits,184.0489293708054,420.0030009999974,1.19139729742535,ThAr,chromatic,1,True
11,58277.44755898148,-3330996.859297683,83.16842177171661,95.91216071194425,217014_180608.1076.fits,168.6390124182614,420.002001000001,1.2365226035689,ThAr,chromatic,1,True
12,58277.4528309838,-3330911.798013029,85.44025123462083,95.08957110069693,217014_180608.1077.fits,164.6983646752719,420.0030000000021,1.21349419911145,ThAr,chromatic,1,True
13,58277.45810760416,-3331095.486578529,90.28503916472546,85.81845646432943,217014_180608.1078.fits,157.3145008072692,420.001998999996,1.19228363893195,ThAr,chromatic,1,True
14,58293.41762267361,-3324164.437466409,57.41311237288549,200.0831381565175,217014_180624.1181.fits,235.5706713818916,420.0039989999985,1.18017647235725,ThAr,chromatic,2,True
15,58293.43340273148,-3324444.740408101,52.04532908905598,228.6847302319787,217014_180624.1186.fits,248.9073648769577,420.0029999999974,1.1292854348394,ThAr,chromatic,2,True
16,58294.44847335648,-3331003.164850514,50.65381122296935,254.8142056915417,217014_180625.1190.fits,296.7652066801899,420.0040000000034,1.08617734300415,ThAr,chromatic,2,True
17,58294.45373262731,-3330990.218048883,48.63388805110247,285.8556138011714,217014_180625.1191.fits,314.8482450996411,420.002001000001,1.0760320161255,ThAr,chromatic,2,True
18,58295.43672797453,-3329859.18061513,49.63951741932758,264.2274765585754,217014_180626.1153.fits,268.2079346973728,420.0020000000009,1.1061955688158,ThAr,chromatic,2,True
19,58295.44198607639,-3329817.262137145,55.4578700105714,208.13680504205,217014_180626.1154.fits,248.8172913015558,420.0039999999985,1.09404897499705,ThAr,chromatic,2,True
20,58295.4472569213,-3329700.190216591,53.36630316631586,243.702751005494,217014_180626.1155.fits,256.0064953640207,420.002001000001,1.0830782658765,ThAr,chromatic,2,True
21,58295.45658445602,-3329707.434687803,54.31029017547578,228.0611772271944,217014_180626.1158.fits,246.1394540043693,420.0030000000069,1.06646077280455,ThAr,chromatic,2,True
22,58295.46184833333,-3329713.419000699,58.16987614151756,197.734104571165,217014_180626.1159.fits,232.1736322555291,420.0029999999925,1.05852253439225,ThAr,chromatic,2,True
23,58299.44516314815,-3330918.298357574,55.04438494510113,218.2419303317263,217014_180630.1218.fits,241.6943259980742,420.002001000001,1.0673036548362,LFC,chromatic,2,True
24,58299.45047565972,-3330954.376456663,53.87639903324434,225.42349426661,217014_180630.1219.fits,244.8345333678638,420.0030000000069,1.0591607767627,LFC,chromatic,2,True
25,58299.45578237269,-3330932.599288012,56.95303876342528,198.0579499037351,217014_180630.1220.fits,236.052811748178,420.0029999999974,1.05207980301405,LFC,chromatic,2,True
26,58299.46109834491,-3330856.555219711,59.30266779745912,186.5196677019831,217014_180630.1221.fits,224.6397573064863,420.0029999999974,1.04603317937045,LFC,chromatic,2,True
27,58300.45209025463,-3323590.737458121,47.95124486520027,284.5446055684437,217014_180701.1181.fits,272.7949976061768,420.0020000000009,1.05331060996965,LFC,chromatic,2,True
28,58300.45738422454,-3323482.478967282,40.0837105222758,394.5972399532132,217014_180701.1182.fits,324.0774152587555,420.0020000000009,1.047083093917,LFC,chromatic,2,True
29,58300.46269674769,-3323405.267039719,48.58980528270515,275.8157020950669,217014_180701.1183.fits,271.0084963780783,420.0029999999974,1.04181683309,LFC,chromatic,2,True
30,58302.45525807871,-3328348.855011181,38.88239640978254,421.0119003523449,217014_180703.1173.fits,326.0632253386914,420.0029999999974,1.0436807539567,LFC,chromatic,2,True
31,58302.46056362268,-3328404.101444873,37.66382279974714,444.1378229011556,217014_180703.1174.fits,334.650361053746,420.0020009999914,1.03902292142425,LFC,chromatic,2,True
32,58302.46587034722,-3328598.282300014,37.74111581696835,437.3066028728663,217014_180703.1175.fits,335.702895682114,420.0029999999974,1.0353048341316,LFC,chromatic,2,True
33,58303.44944440972,-3332081.880782878,33.92207987428936,539.1844995829609,217014_180704.1167.fits,364.0962370907926,420.0019990000009,1.0468004963041,ThAr,chromatic,2,True
34,58303.45475113426,-3332062.468267564,32.01961598579186,610.7992271182219,217014_180704.1168.fits,381.1449331188504,420.0030009999974,1.04158326911995,ThAr,chromatic,2,True
35,58304.44612612268,-3325112.277876168,35.68640983364428,494.2815400551776,217014_180705.1208.fits,345.4303208216133,420.0029999999974,1.04745632771085,LFC,chromatic,2,True
36,58304.45143283565,-3325310.31501542,76.37494553719417,114.7168849003248,217014_180705.1209.fits,182.4209576992275,420.0029999999974,1.04212890236345,LFC,chromatic,2,True
37,58305.4635775,-3320893.733752863,30.65434216373011,667.5884985262347,217014_180706.1185.fits,396.91485621291,420.0029990000069,1.0322644174916,LFC,chromatic,2,True
38,58305.47239115741,-3320884.62382068,31.90077040880989,599.5648772017314,217014_180706.1187.fits,384.6841619418296,420.0029999999974,1.0298283905374,LFC,chromatic,2,True
