,Unnamed: 0,Maxflux,MinWvl,Minflux,Wv_lbounds,Wv_ubounds,Gauss_amp,Gauss_mu,Gauss_sig
0,0,0.7530180405570914,4470.136939477508,0.1905151441973099,4470.0268651546585,4470.246929308983,0.7930886411591394,4470.135180422381,0.06281343366262236
1,1,0.7934813282661387,4470.314573380749,0.5792054741822538,4470.255386566759,4470.415979543253,0.3518925740021855,4470.296716503184,0.1605929763250877
2,2,0.9993872595031328,4470.8882580439895,0.4085195728049708,4470.7366248245,4471.031318937172,0.584979518344628,4470.891049196059,0.04342314838172497
3,3,1.000456858368547,4471.241441158227,0.2793597928042175,4471.039729800626,4471.434478922903,0.7064885673078017,4471.241728243632,0.051540554120230384
4,4,1.0091934152563296,4471.610501088774,0.3579925780329837,4471.442865901385,4471.794670270253,0.6358872766140526,4471.611088109422,0.04521020653936667
5,5,1.0142967287757163,4472.003661786929,0.5084944422537369,4471.853219158459,4472.128907880402,0.48749812423164285,4472.001882319726,0.040483462956887296
6,6,0.9071760533755074,4472.4373714675985,0.6738566770964137,4472.354069805182,4472.528946113111,0.2414254511057762,4472.418853838282,0.1185192907805334
7,7,1.0161855967100493,4473.168293153857,0.9752838331614626,4473.068847353499,4473.2179893979055,0.0215609242610777,4473.169296788453,0.020558925579992886
8,8,1.000460971477911,4473.267667876061,0.9688719961380916,4473.22627037791,4473.333878217397,0.029326970480884545,4473.273522571514,0.01920547296850104
9,9,0.9993166116754808,4473.499265976405,0.3350186583875067,4473.34215229021,4473.623177395356,0.7141599391428474,4473.51383726629,0.06548046174136976
10,10,0.98984607045128,4473.689218155807,0.4843965240761491,4473.631434214601,4473.862425195161,0.47765613714106947,4473.694051146263,0.05266152498986713
11,11,1.0108886563356845,4474.57768660572,0.8937243309920248,4474.405377805374,4474.692438893686,0.10309962412806284,4474.548508750346,0.05901289166450549
12,12,1.0103584938721752,4474.815281084069,0.9387527458606798,4474.700631806164,4475.027946255232,0.05825906913794318,4474.842224533103,0.061579558332615206
13,13,0.9314815210236098,4475.3055472419865,0.8431903222556917,4475.2076350460275,4475.39523818846,0.1314511614149846,4475.28114110996,0.10757164097381747
14,14,0.9754869510805828,4475.606999730619,0.6940260311826886,4475.4033889756765,4475.737150294503,0.296683035791861,4475.566399104871,0.08214563812295524
15,15,0.9883799918219712,4476.061979752537,0.7771770902884685,4475.932141691962,4476.1835895092745,0.21900555887364684,4476.064255034927,0.04262702644785474
16,16,0.9810957308878374,4476.806126961355,0.12889257250878378,4476.53159627941,4477.128384393413,0.8914318324171437,4476.810463222661,0.08587921045372117
17,17,1.0177603403126343,4477.618330818839,0.9863910256186424,4477.489994972333,4477.682452191331,0.011548214365387412,4477.617808696076,0.015604521866173258
18,18,1.0040568045456306,4477.826611861581,0.8904538578140974,4477.706489707354,4477.914632159246,0.10578673425784958,4477.817447860521,0.03795676075417843
19,19,1.0059666818272317,4477.986605178133,0.964401785027335,4477.922631098362,4478.1064730646185,0.03583796358585155,4477.979829224058,0.05128792123956155
20,20,1.0060969371944732,4478.226232063739,0.91259373043561,4478.114460384941,4478.345882226009,0.08715030208545474,4478.233001116146,0.04496221233376581
21,21,1.026796819900286,4478.783669140347,0.7182732821308356,4478.6325988621975,4478.942502242436,0.2786244719261385,4478.782721195121,0.03696348797580199
22,22,1.014037318924859,4479.085287055053,0.8171446704377575,4478.950438831512,4479.235834893214,0.17766958879510922,4479.088816080849,0.04612870194957201
23,23,0.9920131444630016,4479.386208785722,0.8531414913084845,4479.251671913616,4479.496899353645,0.1409591742139476,4479.381541687631,0.04970745754186955
24,24,0.9881137922639518,4479.575906279041,0.952707350125964,4479.504802212084,4479.670651069896,0.04438105091150187,4479.588346162568,0.04739641238799934
25,25,1.0187907138267651,4479.7337757786245,0.9584958129593312,4479.6785433419955,4479.875693846911,0.044820748489752156,4479.747541213795,0.030137166669565726
26,26,1.0224391759937717,4480.143336463877,0.720633507848588,4479.899331714893,4480.245523678973,0.284287066028924,4480.14181805211,0.03930429898535269
27,27,0.9951023982517276,4480.371181202821,0.3422825179282217,4480.253380873592,4480.582949797727,0.6262584320965636,4480.393039818962,0.06515960465068402
28,28,0.9962547022847597,4480.723934691694,0.4469607200205612,4480.590786365871,4480.810015699804,0.5494255945525919,4480.7262935338795,0.04189186635453076
29,29,0.8188477040289887,4480.903856155648,0.34233871537306226,4480.8178383718405,4480.982003865337,0.5073770858145499,4480.930134281645,0.10259944313757248
30,30,0.9899946650099758,4481.348657152858,0.5427032745947281,4481.208361585465,4481.47323430127,0.4484574159507602,4481.348784673228,0.04754140781616446
31,31,0.9277091696348648,4481.582138967625,0.5879184889040359,4481.481016311216,4481.698718661798,0.39458511475979313,4481.584411331046,0.04866262514859984
32,32,0.9135931993839596,4481.892779478594,0.4528614061211493,4481.706486821753,4481.954815959189,0.45352859070001894,4481.870425212253,0.07442156974217443
33,33,0.9189433003491659,4482.0400662812235,0.34698339515891474,4481.962568372889,4482.249072516021,0.605505715571343,4482.063473055195,0.08052509221348554
34,34,0.9833585828234652,4482.37276415637,0.4139158638323683,4482.256806816126,4482.573503088919,0.575187207349162,4482.373300869393,0.045656892193394104
35,35,0.9850833250005132,4482.950944578967,0.12206219357196248,4482.604357444501,4483.311908232535,0.934566561267569,4482.982310686894,0.09532887338221147
36,36,0.9655487118540196,4483.495825677978,0.32046730438748305,4483.31957691571,4483.595333558238,0.5885008748311412,4483.508936562193,0.07715958571067778
37,37,1.0151812616909854,4483.916273138933,0.9981516016674123,4483.8475707239595,4483.992564170585,0.0014673311997470489,4483.899592945222,0.000931961978592782
38,38,1.0128465867411622,4484.0992920866,0.991558021032404,4484.030691933092,4484.1754695241025,0.008070034622361472,4484.107202695009,0.0183916422991211
39,39,1.0087515677550591,4484.312469702154,0.9643281320594256,4484.183084665655,4484.418919472856,0.03361077359283231,4484.313630424449,0.046494639949839794
40,40,0.9986477616802598,4484.5404629139675,0.7775045796640003,4484.434119019345,4484.601189274318,0.2188413603907435,4484.540645571948,0.03505245672900189
41,41,0.98939456590581,4484.661885403302,0.7985968357951614,4484.608777943582,4484.783186993462,0.19815041840855943,4484.668414449531,0.04168464354936078
42,42,0.992899139360714,4484.987609424631,0.22456874785357325,4484.790764329812,4485.176582834348,0.7688921389551484,4484.985124695518,0.05407572872803932
43,43,0.9906423272387404,4485.25208969286,0.9370014312987172,4485.176582834348,4485.372802647704,0.05887364832420132,4485.269876838177,0.048966851341806505
44,44,1.0205858841641726,4485.583760172097,1.001114643012535,4485.523524262997,4485.659012694821,0.0,4485.583760172097,0.027097686364868423
45,45,1.0214590449306924,4485.839426772281,0.9859033094599208,4485.749253605261,4485.907012203884,0.014641706715205286,4485.847974703989,0.021176731506823632
46,46,1.0099276125594638,4485.974559551005,0.9928671801396648,4485.9295322174185,4486.019569962179,0.009345966372112718,4485.9646992309445,0.00934485828554154
47,47,1.0044718740954433,4486.438851583756,0.2978770277025537,4486.2144195946885,4486.6180930513265,0.689662562658182,4486.440287860914,0.050668202728909845
48,48,1.0129563553555527,4486.729981772892,0.7292926136467298,4486.6180930513265,4486.864109001223,0.27059700539047915,4486.732501552022,0.03559022550867391
49,49,1.011337683317861,4486.968325207295,0.9931319753543484,4486.871556061493,4486.998084400985,0.0061416623287540726,4486.99807465558,0.03379143213582213
50,50,1.0234320015565177,4487.347193770288,0.9811697141233856,4487.2061889619845,4487.413926570854,0.015634091377225285,4487.384072731787,0.05120990103845374
51,51,1.0089089585467867,4487.680479010784,0.8136407491837828,4487.562086058502,4487.865228532732,0.18783821018706556,4487.702724095275,0.0538621034410281
52,52,1.0000850172084357,4488.012817995839,0.8227299161213134,4487.879995883306,4488.07917233717,0.15578550064497268,4488.0312965877265,0.06222096082358868
53,53,1.016919174359224,4488.255932477841,0.9329543010811776,4488.204405192852,4488.3589184958555,0.06254252497024052,4488.204405202666,0.06910715326755185
54,54,1.0122865811040105,4488.505882877396,0.7845063141272829,4488.366271143095,4488.696657936598,0.19323597814246393,4488.510815533912,0.054598360787631965
55,55,0.9807823114649596,4488.894437313979,0.42756253168800856,4488.703989151031,4488.989543414357,0.5377849667350746,4488.8797845052,0.0633529123923636
56,56,1.0200088025719896,4489.084570894297,0.4644547464060264,4488.996856011442,4489.288978554245,0.5374492964608127,4489.0894087361785,0.04307972207312488
57,57,1.0135035207213872,4489.667626304927,0.4491170836213993,4489.493021856429,4489.762092075479,0.5519229914061654,4489.668558431813,0.04314726622599752
58,58,0.9707723540323928,4489.936284419552,0.3512771789943175,4489.769355424838,4490.117450739287,0.6489659798379979,4489.910542951704,0.07123705635214206
59,59,0.976816256474728,4490.226011481337,0.7525209128498529,4490.1246913659115,4490.3416947096475,0.23755122471791384,4490.2290274693,0.041661548369118194
60,60,0.995740426553768,4490.507781652684,0.1763064854313667,4490.3416947096475,4490.6880332227665,0.8281813130231644,4490.506736740413,0.04985180340564261
61,61,1.014997158700203,4490.846415437827,0.2672710230629005,4490.695237270717,4491.133809862458,0.7285311335009081,4490.847016969933,0.04891325665995385
62,62,1.0190148972044186,4491.305891716523,0.6767869832789539,4491.148160177213,4491.406149985602,0.31989744762263,4491.319630378375,0.05287083065460218
63,63,1.012617845424456,4491.542070099696,0.303027826438817,4491.413307828817,4491.749206066085,0.7023010566188133,4491.540151974369,0.05747223649253262
64,64,1.0123185940549992,4491.849063960473,0.9833201051700424,4491.763477010982,4491.906085056897,0.014643965173977766,4491.867870973765,0.03133872074927839
65,65,1.005929815148655,4492.169424116129,0.33074935714194703,4492.012920133068,4492.318606414254,0.6662649773326702,4492.17289692559,0.052035498192334155
66,66,0.9867233606529408,4492.417948531617,0.6970017428558137,4492.32570527056,4492.5242864592765,0.3016564038909064,4492.420248023702,0.03922757295314622
67,67,1.008591477925986,4492.609282300289,0.8456885548101298,4492.5313719750875,4492.729579750849,0.15656163087112124,4492.610815138267,0.03513845061157401
68,68,1.0162978824830036,4493.068526365153,0.6657112454389424,4492.934486538484,4493.195358585973,0.33655453489303083,4493.070073831178,0.038585589951248896
69,69,0.9978097818761748,4493.2868671607675,0.9069409580442366,4493.202400460285,4493.3361088928,0.09424769181087807,4493.299909006506,0.04021574898465141
70,70,1.0246351694519913,4493.441551207375,0.5589774147355544,4493.343141591029,4493.6170591349255,0.43809883978980546,4493.444107842489,0.041314935701128194
71,71,1.0094389031987885,4494.141864859913,0.8867571956351926,4494.016146378775,4494.190715339055,0.11589981492833287,4494.141744171553,0.03388686711839119
72,72,0.9849205420622864,4494.288349046436,0.5947910846930636,4494.197692148807,4494.406783746283,0.4001722493004903,4494.2870394758,0.03960718754239291
73,73,0.9855726930441324,4494.504218987533,0.9491996516672696,4494.41374637795,4494.54594952175,0.046483406010866056,4494.507165773463,0.05493921447833953
74,74,0.9531064114285696,4494.809860918785,0.5348437112539467,4494.566808618924,4494.899994986858,0.4204076721348651,4494.78867467101,0.08864083650460715
75,75,0.860996224550889,4494.948496756653,0.7662487980664,4494.90692518066,4495.045433197605,0.15989534767183558,4495.017053061249,0.11357578779986273
76,76,0.9411113228677764,4495.335705961483,0.12535927410867045,4495.052353806214,4495.666461438656,0.8325509481616417,4495.324580491279,0.09525172205697811
77,77,0.9848347228193454,4495.762734047235,0.8583145719586702,4495.666461438656,4495.913839250221,0.10900628027903962,4495.7402301770135,0.09378411410398639
