,LineDepths
0,0.0030119999999999036
1,0.0050240000000000284
2,0.0047999999999999154
3,0.0047799999999998954
4,0.005779999999999896
5,0.005499999999999949
6,0.006988000000000105
7,0.006659999999999999
8,0.0036879999999999136
9,0.006831999999999949
10,0.003912000000000138
11,0.0047639999999998794
12,0.0044439999999998925
13,0.0024879999999999347
14,0.006599999999999939
15,0.0038280000000000536
16,0.005971999999999977
17,0.0036440000000000916
18,0.0036640000000000006
19,0.007108000000000003
20,0.0034520000000000106
21,0.0040080000000000116
22,0.00675199999999998
23,0.0036080000000000556
24,0.0022760000000000558
25,0.0048120000000000385
26,0.0046760000000000135
27,0.0041319999999999135
28,0.005063999999999957
29,0.007459999999999911
30,0.0032839999999999536
31,0.0048199999999999354
32,0.005459999999999909
33,0.0035559999999998926
34,0.0027080000000000437
35,0.006039999999999934
36,0.0042680000000000495
37,0.0046200000000000685
38,4.8000000000048004e-05
39,0.007356000000000029
40,0.0007599999999999829
41,0.0040480000000000516
42,0.0016599999999999948
43,0.005796000000000134
44,0.0044120000000000825
45,0.005788000000000015
46,0.0044359999999999955
47,0.0037679999999999936
48,0.005292000000000074
49,0.0047039999999999305
50,0.0028559999999999697
51,0.0023679999999999257
52,0.006760000000000099
53,0.0030999999999999917
54,0.009783999999999904
