,Wv_lbounds,Wv_ubounds,Minflux,MinWvl,Maxflux
0,4500.065169943791,4500.274023935454,0.38774,4500.156542445486,0.93496
1,4500.279957915902,4500.5980057085135,0.49473,4500.399410447677,0.98087
2,4500.672769566941,4500.853177227422,0.95489,4500.735685754456,0.99417
3,4501.314957885359,4501.72853996181,0.61373,4501.544110657749,0.99219
4,4501.734477778678,4502.081249132337,0.83078,4501.896770660692,0.9841
5,4502.087187879693,4502.4134174081,0.66699,4502.3587654966295,0.98426
6,4502.419742195678,4502.804614630867,0.13613,4502.541295091257,0.96644
7,4502.810960792872,4503.153517880191,0.77328,4503.039860363976,0.96643
8,4503.15945945677,4503.348401657176,0.90609,4503.238688735791,0.96723
9,4503.354343748036,4503.618164048624,0.37676,4503.477934680701,0.96785
10,4503.6241068514,4503.759984289804,0.8974200000000001,4503.695016042657,0.96211
11,4503.765927466869,4503.973137115161,0.66004,4503.855462414624,0.98765
12,4503.979080854792,4504.177971890632,0.97686,4504.0337518236765,0.99597
13,4504.538978431191,4504.804926292495,0.95637,4504.595651548048,0.99653
14,4504.823149720361,4505.091099834828,0.86521,4505.024104244096,0.99556
15,4505.352748778562,4505.602532018861,0.97248,4505.4764494263045,0.99803
16,4505.872544239761,4506.221923111228,0.51126,4506.095805851292,0.98801
17,4506.404380232269,4506.686796534358,0.93931,4506.507890857011,0.98377
18,4506.8311865561245,4507.12358996216,0.92028,4507.042253521126,0.98967
19,4507.129542019796,4507.249358455028,0.96596,4507.180328133814,0.98435
20,4507.255717151891,4507.481106960552,0.94327,4507.365219570753,0.98456
21,4507.489030754994,4507.759289458491,0.8699,4507.584667055889,0.98302
22,4507.765629274278,4507.934311499181,0.8788799999999999,4507.865260195877,0.98371
23,4507.94026569827,4508.041875615722,0.86167,4508.007348051978,0.94443
24,4508.0478300989635,4508.2391541886955,0.8363799999999999,4508.098636909657,0.98513
25,4508.393582904056,4508.560320071354,0.86454,4508.478931767494,0.97671
26,4508.566275924256,4508.7961676098275,0.8861,4508.659965797035,0.98895
27,4508.881531716835,4509.064183949474,0.92072,4509.027648252827,0.99095
28,4509.072519945409,4509.180138387189,0.9194,4509.109056369232,0.95939
29,4509.184123600994,4509.399762636021,0.91458,4509.2818042069375,0.95959
30,4509.40612740179,4509.833116105947,0.25128,4509.552277940808,0.98112
31,4509.839075322078,4510.123915744787,0.81797,4509.9510830410745,0.98745
32,4510.272492893547,4510.425067239387,0.96725,4510.39447016978,0.99296
33,4510.429054654032,4510.63250353302,0.80952,4510.549046582695,0.96812
34,4510.638464861935,4510.839938560014,0.82291,4510.709595107926,0.98597
35,4510.84390636051,4511.161475121292,0.5415,4510.998900213956,0.98587
36,4511.167437848485,4511.383266622607,0.95457,4511.27554299438,0.98496
37,4511.910439660632,4512.21582036562,0.85751,4512.091749378987,0.99652
38,4512.222172723145,4512.352216742212,0.90588,4512.323975764615,0.98084
39,4512.358569483783,4512.51527610515,0.87449,4512.425783399872,0.97495
40,4512.521242411715,4512.690260380197,0.95849,4512.580499077414,0.98811
41,4512.698609788734,4512.971489537289,0.91869,4512.828681271853,0.9877
42,4512.977457050299,4513.273041812573,0.55379,4513.156856413847,0.98733
43,4513.279010123095,4513.411478088324,0.95756,4513.331910821382,0.9805
44,4513.417446764986,4513.684444059598,0.7295,4513.535621664902,0.98394
45,4513.69041345824,4514.146864545137,0.30421,4514.004389408839,0.98361
46,4514.1508585429665,4514.395626662985,0.75747,4514.257109631049,0.98296
47,4514.401597942871,4514.517827058918,0.96066,4514.4891717358805,0.98304
48,4514.525795993626,4514.778574603589,0.8002600000000001,4514.694984543175,0.96398
49,4514.784954562211,4514.905178367785,0.92176,4514.847858250537,0.94952
50,4514.9111509957365,4515.064039343076,0.85595,4514.9804387118,0.95002
51,4515.068034964055,4515.29459416469,0.92697,4515.155614228698,0.98017
52,4515.298569805818,4515.557409302252,0.3673,4515.453482545529,0.98006
53,4515.563383655961,4515.926625513208,0.51923,4515.694028168953,0.98151
54,4515.934599422263,4516.140523650468,0.94059,4516.040934496944,0.98041
55,4516.277157407646,4516.493495799975,0.75148,4516.432545266589,0.97301
56,4516.499860207554,4516.797497889313,0.27842,4516.605854709055,0.92026
57,4516.805862503254,4516.985178714655,0.9163,4516.852500894281,0.97889
58,4516.991156847012,4517.2402325543935,0.93064,4517.125862850654,0.97905
59,4517.433949886723,4517.670706331671,0.83615,4517.540355583281,0.97698
60,4517.67709446682,4517.795472125326,0.95077,4517.7217302794725,0.97059
61,4517.801452402689,4518.085319477993,0.84905,4517.9282257615605,0.97024
62,4518.09130052273,4518.262736652821,0.95092,4518.20371853136,0.97035
