,RV
0,100.39778338414715
1,100.01533675898028
2,100.55064889907794
3,100.58905672975757
4,99.99956282394824
5,100.49879319281303
6,100.01753697957822
7,100.37370301195087
8,100.1804911903589
9,100.30624218213033
10,100.19561882453841
11,100.03074610579739
12,99.68083535986007
13,100.29257149409246
14,100.27234198297423
15,100.28101391234635
16,100.6438755768613
17,100.45964958127568
18,100.14148876799217
19,100.34396330853069
20,100.65895090887082
21,100.25540386755506
22,100.07518826853851
23,100.03926961790617
24,100.57395726809197
25,99.83473456748153
26,100.38471280343038
27,100.46306301774347
28,99.8362947896566
29,100.04248875155112
30,99.72323895959384
31,100.22395662271587
32,99.91099410518687
33,100.45722455159982
34,100.11570961610428
35,99.98417881613928
36,100.50733765006763
37,100.33374706905424
38,99.82437296815633
39,100.41233534250978
40,100.35730933068469
41,100.55633806116703
42,99.79141815194397
43,100.63374120220918
44,100.58342117470373
45,100.88737288658321
46,100.02343397063906
47,100.01226957521361
48,100.10123105240098
49,100.03639532173705
50,100.77477439284955
51,99.71054071891994
52,100.70559696424006
53,100.01883078271679
54,100.27623280790075
55,100.60444877354146
56,100.09184565762018
57,100.12436638908711
58,100.29353743933193
59,100.0946962587704
60,100.50150034749451
61,99.956947804239
62,100.64143492607421
63,100.36461698715966
64,100.04270952676401
65,100.20597770949142
66,100.06103556589596
67,99.61970921383164
68,100.55251255216602
69,100.14347427525401
70,100.14425073408502
71,100.26685639493516
72,100.00855523395097
73,100.09958017765435
74,100.26900010566682
75,100.11898161015895
76,100.25846758299629
77,100.42000514252028
78,100.00743438304404
79,99.98612125855995
80,100.30690940852594
81,100.42544864228337
82,100.46083008777472
83,100.20501027611878
84,100.16919183526721
85,100.12007465625005
86,100.40031163219196
87,100.31638968120436
88,100.53028921643588
89,100.25753051745473
90,100.04863099019497
91,100.12383812264137
92,99.66134851758352
93,100.21932764267181
94,99.99761856606514
95,100.13940088453045
96,100.37668170956347
97,100.00767171754465
98,100.10154223202032
99,100.47356937464994
100,100.2717235383637
101,99.99848960322834
102,99.89519099942513
103,100.29215612385192
104,100.21737234126653
105,100.4146623950588
106,99.99492938254377
107,100.04846119540274
108,100.09183350733534
109,100.11207993566386
110,100.2029569953332
111,100.24174666012568
112,100.05319367489186
113,100.29739205875381
114,100.38444973019455
115,100.39919315213447
116,99.94639590715957
117,100.01184296040603
118,100.23340726619702
119,100.2962905928204
120,100.48783634905936
121,100.31032952078816
122,100.5229922275279
123,100.09611790981496
124,100.20832230407773
125,100.00893841707955
126,100.2888247006499
127,100.15714794908133
128,99.60991055865253
129,100.29946540801535
130,100.49226746803102
131,100.17954523321127
132,100.07518193906917
133,100.06990804168854
134,99.63870322313853
135,100.0637700716396
136,100.08703211586547
137,100.06427338287916
138,99.79916517077862
139,99.97589086545906
140,99.91909167475498
141,99.95515939366503
142,100.50473059120851
143,100.44895711236215
144,99.84613190527041
145,100.14062969042604
146,100.16296761309897
147,100.2617770646287
