,RV
0,0.6668921503145807
1,0.3077664565846173
2,0.36423850788670775
3,0.1760082924624535
4,0.09024531168114278
5,0.1493855049692763
6,0.6571700428888848
7,0.035217712375347494
8,0.7836538998408257
9,-0.1940963758650575
10,-0.49857603842059406
11,1.0588938585115282
12,-0.2723168426164535
13,-1.0447081344422056
14,-0.01942900255685897
15,0.5520573851799299
16,-0.34502104662683913
17,0.10164524879830267
18,-0.18665091987027183
19,0.18738414376748994
20,-0.6215840872245607
21,0.158999190562517
22,0.590017290809868
23,-0.12837662787664325
24,0.6347555792394054
25,-0.008758958801432112
26,0.22659297633586764
27,-0.04954770872634935
28,0.5798949225027105
29,-0.03491669773472768
30,0.09307664772171055
31,1.0026815109738973
32,-0.22831208289515076
33,0.9615155653950161
34,0.6108906428483872
35,-0.6287880464599431
36,-0.683233033045346
37,0.296508235349609
38,0.47046133786335104
39,0.1389623402848411
40,0.2914551974653772
41,-0.434775616696611
42,0.160517541592954
43,1.0449397648350767
44,-0.27820411393555544
45,-0.39337817657487095
46,0.01940996112312837
47,0.40088020279948333
48,-0.42790465862006366
49,0.06045304870954898
50,0.06253733261260465
51,0.19585266775216165
52,-0.32713643939604936
53,0.35930111148860805
54,0.2788420620514012
55,0.07557681038728534
56,0.39021519752353023
57,0.2720805619713597
58,-0.24124299242399755
59,-0.48888754136161655
60,0.06503406829429191
61,-0.0652089196508698
62,0.46347050127053624
63,0.2823860969611319
64,0.22663518916645845
65,-0.6882260454449715
66,0.30982348436081086
67,-0.3755649819659121
68,-0.8119355225691073
69,0.1588468652879945
70,0.4444219410491409
71,0.2731660875941444
72,0.05355933061036993
73,0.5903656400499792
74,0.1952320361726848
75,-0.2044390426301068
76,0.11093552487025729
77,0.06494912126806714
78,0.2423145785737631
79,0.03507823186695688
80,0.5253988425227029
81,0.2777989892395947
82,0.12655541586905236
83,-0.5411544071346265
84,0.4002028145612874
85,-0.25485876344085284
86,-0.08612720988715188
87,0.5405710057648856
88,0.3306143804986888
89,0.2737689947584541
90,-0.6290582848440089
91,0.18344497398009516
92,0.2827714662748601
93,-0.2312675280850646
94,0.7779675710740634
95,0.45822100522796855
96,0.48662967397860485
97,0.10129629726192765
98,0.5057335707201195
99,-0.07187105672741399
100,0.5901767471619355
101,-0.5469230535857984
102,-0.4020804236360461
103,0.37494352626774535
104,0.37484868115706943
105,0.42835890150890676
106,-0.013157395183413304
107,0.3342349228171019
108,0.10729607268319297
109,-0.01817506108248611
110,0.034822532816929146
111,0.5181700014630896
112,0.01857036793310866
113,-0.4402718719192824
114,-0.12714665783223986
115,-0.23441831051199297
116,-0.3280025182822523
117,-0.44035653174285483
118,0.8627860478514736
119,-1.0153134086867004
120,-0.06360433140557566
121,0.5217226727976177
122,0.6028873763667493
123,-0.2649784373010212
124,0.3550311770831537
125,0.08695408931856598
126,-0.1213039157296999
127,-0.19454380056523427
128,0.05710112403459992
129,0.06925922436326055
130,-0.5641724982080173
131,0.368900619456971
132,0.048752385055338986
133,0.6317508602091879
134,-0.2568323078265675
135,0.4655790189703216
136,-0.6034739749867154
137,0.12003488915519155
138,-0.5838427812078772
139,-0.37328431042488297
140,0.3607871916066827
141,-0.051461623772250456
142,0.287919230250367
143,0.3927798896588656
144,0.16903169318709751
145,0.04552622135991189
146,-0.5869084999894383
147,-0.1737784944253051
148,-0.4919448819023815
149,0.2766143931208161
150,0.2645725240332545
151,0.3049415498610486
152,0.5796801533895999
153,0.021484766134868813
154,0.5168305739374929
155,-0.1411468805122408
156,0.8347284657967903
157,-0.36339796861275
158,-0.37733063252861504
159,-0.06738183748366605
160,-0.15717214078742
161,-0.655419617365528
162,0.6253552747313907
163,-0.33323193016121666
164,0.04762474225187413
165,0.1283190867264182
166,-0.3318046911878301
167,0.7334368852796147
168,0.03112386473781775
169,-0.06328476024557836
170,0.023325012811113502
171,0.6200856883099013
172,0.11294420575666345
173,-0.4735300670076068
174,-0.048434825614050214
175,-0.07333046764910822
176,0.5842685059872103
177,0.4526682116779287
178,0.841007040563018
179,0.4991074780382045
180,0.16422246357803946
