,RV
0,1.1390218688472424
1,0.9609098881858088
2,0.996278330048558
3,1.3595896338629165
4,1.1653432014110656
5,0.9691283371167687
6,0.6963578648527856
7,0.7124400144466867
8,0.5195352709332935
9,0.8412001762097822
10,0.7926510806887815
11,1.6055425007570934
12,0.5250045972551752
13,0.9268734335437988
14,0.6449434159261752
15,1.0036178127171795
16,1.2709065361240215
17,1.1691048899044247
18,1.4609962601871593
19,0.9661026679056994
20,0.978501187725375
21,0.3935051136520995
22,1.4519385087403651
23,1.3873321128331626
24,0.790896082286331
25,0.9734816282936493
26,1.583281325389267
27,1.0194446161565012
28,0.8798186126791774
29,1.169164361518967
30,1.1494084543095069
31,1.542756385120298
32,1.066686303096476
33,0.8388639663394499
34,1.1160240326503446
35,0.934726516682042
36,1.205298722574151
37,1.215547168365915
38,1.0055228118630393
39,0.7134234257348336
40,1.5968507944293617
41,0.8072411149352895
42,1.0714303276532855
43,0.3871657405069315
44,0.7896997762584735
45,0.738209670728506
46,0.9847900363028613
47,1.3214538887304301
48,1.0244942168636162
49,1.2889144683438434
50,1.0148055710489627
51,1.573809629625281
52,1.4814723853757137
53,0.42722621906092967
54,0.8321969361955991
55,1.1435090450916112
56,1.4159102684973246
57,0.8972574576807463
58,0.9944418148899219
59,1.4118404640112778
60,0.8901690916139269
61,0.862707509845101
62,0.9855726047141377
63,0.8591120644657112
64,1.7922101412379086
65,1.1368035867443207
66,1.364517153991964
67,0.6330732407508677
68,1.136606358748281
69,0.7380625933769234
70,1.058136839137062
71,0.6407088822655578
72,0.7903830005508724
73,0.6916352875690357
74,0.7212595966434285
75,1.0227879239505389
76,0.40754190180647004
77,0.957780816156
78,0.6727940898198894
79,0.3446225489066653
80,0.8878000392524635
81,0.7026851259090625
82,0.8339437756230599
83,1.1634686616034882
84,0.5812959891344908
85,1.4497243833303288
86,0.8216012634854022
87,0.9661774359948039
88,1.2232554905980535
89,0.8565760198771715
90,0.6735414903304088
91,0.6662966974626706
92,0.9252674664205298
93,1.7688762266270748
94,0.8782758536588797
95,0.7591607511981501
96,0.9635050177770819
97,1.1009273749516555
98,1.1420626106901846
99,0.8836621364104922
100,1.0433729042273874
101,1.068225390679966
102,0.3815090648280119
103,0.7492165195320277
104,0.16923578732442357
105,0.8305717952818223
106,0.9263890624969285
107,1.0735803472553314
108,0.9177578012103773
109,0.9149944593179794
110,0.8779780932449145
111,1.4527760523821789
112,0.9962419054821608
113,1.2684255825454782
114,0.49560888078185417
115,0.5353043350931675
116,1.0544476870514894
117,1.2859678133702936
118,0.6716871665734453
119,0.8237811578852718
120,1.0371666077482917
121,1.4739524786045703
122,1.2702353170953564
123,1.425037989542115
124,0.8762078780810015
125,0.1791752847094188
126,0.5224845589566116
127,0.6728020772097016
128,1.5172583228463061
129,0.4917133470922949
130,0.8493012080283256
131,1.1126721784605487
132,0.993710859169333
133,1.3567089384273718
134,1.234096959170008
135,0.8737589049563359
136,1.2755607298032918
137,1.400769617808866
138,0.8790331256356281
139,0.7533693055827158
140,0.9014138328495205
141,1.3753066551679556
142,0.8415309948610513
143,0.8278178661274521
144,1.025461497936778
145,0.5740245190747664
146,1.0967367493880023
147,1.1842585023373293
148,1.2143592065779634
149,0.9896711223184506
150,1.2257378789610502
151,1.0362644876200953
152,1.2736744245820546
153,0.8127899526073625
154,1.197509964316536
155,1.1883816747853309
156,0.8416309086660957
157,1.2270802948618122
158,0.6799847553655243
159,1.0492119095906514
160,0.35323444334782717
161,1.0920991745256854
162,1.0189488898360193
163,1.1688687831097477
164,0.9806452225776016
165,1.0954224066844656
166,0.7319575288103753
167,0.7262292175711895
168,1.1054123958879976
169,0.6351120750339033
170,0.9863853595635053
171,0.9628119458173012
172,0.8774812114009863
173,0.7214240830765594
174,0.9591026221101682
175,0.815583113786907
176,1.1781125859732202
177,1.238837850977484
178,1.284187337447541
179,0.8815944826621576
180,0.7659408573941604
181,1.0772732399890017
182,1.2435549852659227
183,0.5985161546119879
184,0.9010975936911151
185,0.7718189960778477
186,0.6816000423249594
187,0.7975815832444223
188,1.3459250136629517
189,1.0118363136666975
190,1.0103453459619127
191,0.67983355917052
192,1.094104398991875
193,0.7165337691571951
194,1.3826341034122558
195,0.47947777347826803
196,1.3207439965473853
197,1.397515920773664
198,1.1220688898327342
199,1.1110140848434424
200,1.4097655054985403
201,0.7417457025400102
202,0.5020008448064259
203,0.893014287474395
204,1.0535038014633544
205,1.671432003732181
206,1.2540409280795533
207,0.818285530853014
208,1.2310073757317985
209,1.3619977139709762
210,1.2503202248742924
211,1.2309865911136064
212,0.6717988596054587
213,1.5360283736348828
214,1.0719778242258897
215,1.2545108249978927
216,1.0690810216579378
217,1.4469470343315698
218,1.338689874834438
219,1.3199997879301661
220,0.6606839945813804
221,1.4110318527868402
222,1.4773566319464717
223,0.4062766046815717
224,0.5257838377932922
225,1.1257204931319804
226,0.6351979672429531
227,0.8557965400344467
228,0.8871256023183398
229,1.2523018349985826
230,1.2906641088704995
231,0.7707329293608521
232,1.1635489712288567
233,1.0902871311471691
234,0.7175784592401105
235,1.4316649189687423
236,1.2799375285357242
237,0.9996219373913222
238,0.8235410537371781
239,0.7329195079298545
240,0.9340899671412566
241,0.6554311123127611
242,1.0808246322230841
243,0.6860760651649542
244,1.3835527167629746
245,0.9597862760141149
246,0.9968653239915658
247,0.6842477246293255
248,1.3028368553566294
249,0.637730389706561
250,0.8936883923800389
251,0.8266862716894942
252,1.1864364657767579
253,0.36161698963952343
254,1.2288046370108583
255,0.7111658980897151
256,1.0653724828770448
257,1.6199328384590226
258,1.5367274261286334
259,0.5015840319464259
260,1.0471290782047888
261,0.9378031605242411
262,1.1605439072921442
263,0.9450473462003295
264,0.902910876694152
265,1.3613705683569848
266,1.1091029424757948
267,1.1782513022797332
268,1.1658669703562325
269,1.3845518639007808
270,1.5040454331987276
271,0.8862161288479713
272,0.8703008016075876
273,0.7612755810775571
274,0.7290871874036946
275,1.3167114321812035
276,1.4029771437512553
277,1.5785795477513067
278,0.7757204651796553
279,1.0605399032202565
280,0.9973732746219491
281,1.6130784523164876
282,0.2506245959145187
283,0.8351039899421928
284,1.394020223295534
285,0.6600737123562468
286,0.7186461423152891
287,0.9119153351463978
288,1.0239643926776292
289,1.090966897060117
290,0.9263598096704235
291,0.8102544865827443
292,1.3239425686330357
293,0.497900194693424
294,0.8506582019073258
295,1.0414124652420476
296,0.34012588141337746
297,0.3640520788161965
298,1.0746243128821806
299,0.8002057916124692
300,1.2792861335805155
301,1.2687889618597628
302,0.671903085745456
303,0.844555558442626
304,1.4463143936641603
305,0.9826891658200354
