,RV
0,98.57193272771791
1,99.81115918056793
2,99.8110345184108
3,100.22326725116831
4,100.38287767660603
5,99.83331467314426
6,100.37094832499834
7,100.51104325252992
8,100.47261227604653
9,98.3321582390322
10,99.12424383298465
11,99.43951276188383
12,100.23775277302927
13,100.58113415366596
14,100.1275245454399
15,99.63697471655779
16,100.72272839582465
17,100.42959903645601
18,99.64731403401163
19,99.57817804116523
20,101.10692589563082
21,101.14519527366727
22,100.00382643579823
23,100.16753429845899
24,99.66963592277655
25,100.83259308856894
26,100.05802931579828
27,100.47862678622957
28,100.64766400695082
29,100.28718724863576
30,98.98621414739789
31,100.49490141537906
32,101.19829718603876
33,100.66892109558817
34,100.24755019542881
35,99.28690224940227
36,100.80012969723238
37,100.0723848155323
38,100.7681061737027
39,100.51983419083606
40,101.27904930656351
41,98.93489486094616
42,100.87442093762128
43,99.93120014522816
44,100.32098279715605
45,98.59110886669039
46,99.31626081539632
47,100.33493711284464
48,101.61490291135708
49,100.52490376762587
50,99.71955856030307
51,99.13004055999045
52,101.90292773193674
53,101.15460985252003
54,99.29135778617034
55,100.24205040189922
56,99.99926892007548
57,100.96723144632472
58,100.22065327271608
59,100.24546573034137
60,100.1643025883237
61,100.82443666368586
62,98.87861421995133
63,98.78985702193118
64,99.4391016150546
65,99.37473705964847
66,100.7000840435464
67,100.3898647335905
68,100.71378305980008
69,100.79301525497159
70,100.10325337945034
71,100.21666780264754
72,100.11237175399053
73,100.81530402623686
74,100.59962818441315
75,100.21734758035393
76,100.08298169067957
77,100.54125021916687
78,99.95690910363618
79,100.26926112882936
80,100.14975347149546
81,100.16236730560284
82,98.46295850875785
83,99.81929360695942
84,100.36884185279483
85,99.88632535841754
86,100.6911624905023
87,101.2401717018746
88,99.84616724542984
89,101.75706423884411
90,101.40556195644326
91,100.4177369524279
92,100.4566580552798
93,101.97388234569569
94,99.87789126256472
95,99.76331401142477
96,100.97295084445838
97,100.39733610039664
98,101.33106963076767
99,99.7634451128758
100,99.06551168625161
101,100.23706395883028
102,101.36559906909584
103,100.11284123799282
104,99.90729359245366
105,99.04865796466416
106,101.08705566488561
107,99.66299576082456
108,100.37365389038722
109,99.88615187551578
110,100.02460367576185
111,98.78728292174955
112,100.68000510101052
113,99.74369835263734
114,99.22145771249981
115,100.22273544330528
116,100.37865696438867
117,98.8024611945712
118,100.80473967321414
119,99.74683692187543
120,99.85096346060752
121,102.00470849307538
122,99.88645138052556
123,100.11184532680984
124,99.407047096173
125,100.65384137840283
126,101.0080801842809
127,99.69173409806417
128,99.4388110022535
129,100.52637397336703
130,100.57344603048615
131,100.65691332004526
132,100.05733010092162
133,99.75022147547742
134,100.65568281531611
135,99.86619438498384
136,98.72651116377556
137,100.73990880158209
138,100.59495041511474
139,99.84615444592049
140,100.99022043160292
141,100.87236538275147
142,101.2172397048363
143,99.75041158496131
144,99.76624946792371
145,100.22061972594953
146,101.12015282950973
147,99.96208750844738
148,100.17425618872186
149,100.26205367586165
150,99.89048221972934
151,99.33075441705746
152,99.46060933413999
153,99.70992409014454
154,100.02728740111075
155,100.71360270498045
156,100.20763515999764
157,100.31050380413073
158,99.54827134304593
159,98.68322822262907
160,100.64667766157169
161,100.72265434341008
162,99.9920502010363
163,100.38743439183946
164,100.3336044294504
165,100.39617148368721
166,100.03001189736544
167,99.3972980781515
168,100.06052415993817
169,99.04093412709031
170,100.4824101777024
171,100.83264914361277
172,100.20256650327596
173,99.36663697988885
174,99.9200133957921
175,99.6113062277
176,99.57622489677026
177,99.06869489384214
178,101.1323994752954
179,101.06262885306563
180,101.39926430222678
181,100.6455035487074
182,101.5395653391458
183,100.58687996962708
184,99.78304834630892
185,101.03512942782952
186,99.25035140748192
187,99.14948756337355
188,100.17531618571762
189,100.79858823386965
190,99.81711444141445
191,101.6473772858454
192,100.32454429923956
193,99.05100839102863
194,101.30711402986758
195,100.42289322239367
196,98.70551923568408
197,99.29546985245288
198,100.88199844901298
199,100.32867764540991
200,101.24668313742397
201,100.23002764741251
202,99.38499188937804
203,100.9892040341582
204,99.04426211836585
205,99.0421056159227
206,99.52091463523684
207,100.53479028509481
208,101.50739695022651
209,100.02705221030186
210,99.43395788165543
211,99.6160288885315
212,100.83136594153618
213,99.70357766346093
214,100.1467930349221
215,100.81044172764123
216,99.80206513737303
217,99.9554343426462
218,100.04546302624838
219,100.5942302578328
220,100.52290587676188
