,RV
0,-0.2764060483914871
1,-0.24025980788861306
2,0.2385103033571362
3,-0.13972392050892432
4,-0.30304498166334576
5,-0.3281993646254288
6,-0.24616292423315508
7,-0.3480872164974032
8,0.21774631863837804
9,0.1494874015031503
10,0.022718826297004644
11,0.2248587938427316
12,0.1365093407621568
13,0.41725911456085685
14,0.21125833685982234
15,0.1785229438282528
16,-0.0374159646704506
17,0.35331216025495665
18,0.5805687859102056
19,-0.3113484230180305
20,-0.2290524919482674
21,0.4041711225755771
22,0.04664225721654255
23,0.368859022666518
24,0.6599315011529956
25,0.24775841060244583
26,0.4711466945953787
27,0.4831126443622383
28,-0.03178278748087524
29,-0.0853392476133847
30,0.4114353652011666
31,0.20312878123059738
32,-0.15117552985752583
33,0.5212553351927084
34,0.2843356816795458
35,-0.17100619549611706
36,-0.04475579301915091
37,-0.23945982726099416
38,-0.21974888155521508
39,-0.2359086546911801
40,-0.23446712347576432
41,0.5240848272955528
42,0.10164972366143389
43,0.30893341421268955
44,-0.10608142597302953
45,-0.1338252945432055
46,-0.1833980311661068
47,-0.11219098457915866
48,0.30483633323071935
49,0.04447514743963013
50,0.020242629784145965
51,-0.3632753305837729
52,-0.0490618386547021
53,-0.07944879885030265
54,0.28915821937202446
55,-0.11759338370468819
56,0.19668349489379333
57,0.33248900022901534
58,0.20455792736413547
59,-0.11250783273578774
60,0.2740746387824459
61,-0.024296586867311783
62,0.1278532774594553
63,-0.12283025484301763
64,0.33062625080289865
65,0.27395738019513105
66,0.37203553563917
67,0.0772271118640166
68,-0.443432867107516
69,0.18341938606109084
70,-0.0481271095174087
71,-0.711382136516394
72,-0.4160907083798318
73,0.5722812222808337
74,0.31668390063069946
75,0.4345341066877311
76,0.03832273637953861
77,-0.38801541932518635
78,0.07527475812697364
79,0.5773444914749305
80,-0.3212900078055624
81,0.1994820252267361
82,-0.24103811200212164
83,0.6147511670122435
84,0.061872613558845393
85,-0.7166602072875329
86,0.17826781619992135
87,0.05527549867736424
88,0.11509102213413945
89,0.18989209585554798
90,0.2674409589893599
91,0.4190877155201326
92,0.31819336885898497
93,-0.20979034999535182
94,0.566574050506161
95,0.4217139847176214
96,-0.4454602368187476
97,-0.28579373435972466
98,0.7575984655027491
99,0.34437533813207555
100,-0.005313057278524075
101,-0.38569300234121745
102,0.030814047455469715
103,-0.2567272878787929
104,-0.06581805476934975
105,0.39533860922739733
106,0.15278963122334077
107,0.44067669957069
108,0.1738169731402695
109,0.12491980034372707
110,-0.15349881632314694
111,-0.02578222915907864
112,0.06285340146850651
113,0.1546024580919431
114,-0.25397494395209014
115,0.30360025906752525
116,-0.10426590033994419
117,-0.5642501714455579
118,0.34465835365155506
119,0.16259892189045738
120,0.10891526506994598
121,0.8704732202194562
122,-0.07255275413411438
123,-0.17044087926066445
124,0.030535127779619677
125,-0.003945542624828309
126,-0.10478014047898254
127,0.16459775382971376
128,-0.13601277958415842
129,-0.07714198548325911
130,-0.47942345931580793
131,-0.3853297790114184
132,0.1745880466937943
133,0.2514125072884617
134,-0.027433093735500753
135,-0.17981402907514699
136,0.4742289831818657
137,0.3735071355530701
138,-0.40891658705872275
139,0.5120804492891955
140,-0.017323887038346437
