Wv_lbounds,Wv_ubounds,Gauss_amp,Gauss_mu,Gauss_sig,FitType
4500.672769566941,4500.853177227422,0.02841751725769243,4500.672769567055,0.18040746736357588,0.0
4503.6241068514,4503.759984289804,0.08757234038897004,4503.687968942021,0.05855351184501773,0.0
4503.765927466869,4503.973137115161,0.3329231674078681,4503.855831970177,0.03395711933192915,0.0
4503.979080854792,4504.177971890632,0.02060040638505784,4504.026568197141,0.060728908668173105,0.0
4504.538978431191,4504.804926292495,0.03891384577961907,4504.538978431192,0.16048078597250026,0.0
4505.352748778562,4505.602532018861,0.02417569855446388,4505.479658271488,0.0432199934469961,0.0
4506.8311865561245,4507.12358996216,0.06947784385572607,4507.037211832314,0.05181208779034976,0.0
4507.129542019796,4507.249358455028,0.028807246981142672,4507.188878640434,0.026323132366509572,0.0
4507.255717151891,4507.481106960552,0.05797010369124984,4507.3738086986605,0.06259829640193677,0.0
4507.489030754994,4507.759289458491,0.1158900342671589,4507.594496945815,0.05812723556702587,0.0
4507.765629274278,4507.934311499181,0.11870088831679973,4507.867318923478,0.042206454366973734,0.0
4507.94026569827,4508.041875615722,0.12401345236488308,4507.998786960858,0.03137298870445721,0.0
4508.047830098964,4508.239154188696,0.15345495238640952,4508.0997945665395,0.040892667774734964,0.0
4508.566275924256,4508.7961676098275,0.11233017779497656,4508.65887683433,0.04581557613116478,0.0
4508.881531716835,4509.064183949474,0.06940427942832122,4509.023011428987,0.04442544589100871,0.0
4509.072519945409,4509.180138387189,0.053555301344742415,4509.118428621516,0.027705767403662096,0.0
4509.184123600994,4509.3997626360215,0.08296527847842054,4509.298769494966,0.0885894261250784,0.0
4509.839075322078,4510.123915744787,0.16874092471704558,4509.955225780015,0.0458327024725976,0.0
4510.272492893547,4510.425067239387,0.029820204080625155,4510.3929414886825,0.05866156702817938,0.0
4510.429054654032,4510.63250353302,0.1890858696517174,4510.551702147086,0.04205621051857706,0.0
4510.638464861935,4510.839938560014,0.17032098712662164,4510.712394350177,0.04118816912053009,0.0
4510.84390636051,4511.161475121292,0.43398973594151063,4510.998664901913,0.03703194568851436,0.0
4511.167437848485,4511.383266622607,0.02987840752555379,4511.278796176706,0.21582877412215398,0.0
4511.910439660632,4512.21582036562,0.13499154410902234,4512.094258395186,0.040306566821182235,0.0
4512.222172723145,4512.352216742212,0.08799186118441936,4512.328147941625,0.05544817725343872,0.0
4512.358569483783,4512.51527610515,0.11214652747737408,4512.427748499726,0.03486736204392435,0.0
4512.521242411715,4512.690260380197,0.041002440934263085,4512.587682671617,0.04657917342760753,0.0
4512.698609788734,4512.971489537289,0.0775998601329411,4512.838078082404,0.06574187961852583,0.0
4513.279010123095,4513.411478088324,0.04182060029812027,4513.33777048525,0.054731062469179685,0.0
4513.417446764986,4513.684444059598,0.2615152445574462,4513.536797824201,0.03964395736222063,0.0
4514.1508585429665,4514.395626662985,0.23161333782248678,4514.257279694075,0.038429251771403786,0.0
4514.401597942871,4514.517827058918,0.0430344297708687,4514.517827058917,0.10372971824621643,0.0
4514.911150995737,4515.064039343076,0.1250931037445493,4514.980366857827,0.031210435937969322,0.0
4515.068034964055,4515.29459416469,0.07011849961104263,4515.146242447909,0.09578716523081356,0.0
4517.433949886723,4517.670706331671,0.1299089946692885,4517.54224316781,0.03574624887577909,0.0
4517.67709446682,4517.795472125326,0.046011439741653205,4517.6770944668315,0.0989846479816538,0.0
4517.801452402689,4518.085319477993,0.14176256175293983,4517.929421261008,0.05264091009720892,0.0
4518.091300522729,4518.262736652821,0.04557849729096799,4518.262736652277,0.17143613009190084,0.0
4520.489116922451,4520.642383282664,0.023370368647797003,4520.48911701133,0.15326636021287898,0.0
4520.789671829232,4520.9896619976125,0.06353578220618683,4520.896935631018,0.041521930285407176,0.0
4520.996059522439,4521.140979551761,0.04260134468314011,4521.082061294972,0.0504860418103577,0.0
4522.20637580812,4522.527530468008,0.14936214271854717,4522.394205561277,0.0419829692686311,0.0
4522.955002997702,4523.206353165376,0.03168948756080755,4523.142116529815,0.2513501083166136,0.0
4523.513264924453,4523.693502918943,0.12297110926930753,4523.631386265524,0.038545436323476165,0.0
4524.22955435855,4524.473431036472,0.16363640968842189,4524.340453431097,0.04463696924738017,0.0
4524.884871318021,4525.087640200508,0.034979145341805205,4524.981298897792,0.09817885758543997,0.0
4525.093639798981,4525.276010612241,0.12485918782579598,4525.189303509679,0.035254011739462646,0.0
4525.28201071023,4525.421205162568,0.05943656953917189,4525.348989243041,0.04497530278011339,0.0
4525.42759475596,4525.652798488548,0.07007285552701799,4525.483840290455,0.0627646117462065,0.0
4526.783579664751,4526.978485276711,0.04309960822477612,4526.783579664752,0.1949056119592413,0.0
4529.2851826414535,4529.477923859077,0.08355379050681266,4529.3576457747,0.19274121762373395,0.0
4531.0480370294645,4531.306673194165,0.2372334038165002,4531.115648019022,0.03903924825626565,0.0
4531.653600398786,4531.8260673191335,0.06263855833064605,4531.746659798257,0.05842054903679623,0.0
4532.111699603298,4532.313083068764,0.6195310190708861,4532.221135862673,0.05221117316888912,0.0
4533.054642342737,4533.241683275142,0.032843546492109015,4533.054642342738,0.18704093240557992,0.0
4533.486121487064,4533.67319802891,0.02391106513004136,4533.665422290211,0.18707654184527198,0.0
4533.9241169452835,4534.080289811158,0.054111167102849675,4534.042037082011,0.07031359871082221,0.0
4534.400727637098,4534.723637276436,0.846914554383476,4534.516454758082,0.04842846260586174,0.0
4534.730053165675,4535.020062089776,0.06614124664012751,4535.020062089775,0.23414688756966884,0.0
