,RV
0,0.9679642932494859
1,0.7734337919692716
2,1.1454070354852912
3,1.243901895907128
4,0.7605922773443892
5,1.6732312781309588
6,0.8365175455536665
7,1.3461633652501672
8,0.8504174402180289
9,0.5886782534224935
10,1.0036790021344624
11,0.7786600443589238
12,0.9218961578966468
13,0.7297244243006374
14,1.2354493913007019
15,0.9769727078253463
16,1.2125164760310372
17,0.6049951477543759
18,1.1437436977092421
19,1.2070462501266819
20,1.5207532920632612
21,0.6723353242685914
22,1.0419658112551624
23,0.36023707476376177
24,1.142253725944562
25,0.7492289213523433
26,1.278597402507989
27,0.6337031278855582
28,0.48761577932518524
29,0.3062878160082348
30,1.6569228974301975
31,0.9187376445174161
32,1.0230906545403302
33,0.6726916670382825
34,1.41583333413532
35,0.7856026014327364
36,0.9355144131299935
37,0.34460080893509903
38,0.8475813783767151
39,1.1670484832615164
40,1.1439911737441546
41,1.02641478055795
42,0.828220437546557
43,0.1467010437300862
44,0.4759761539274196
45,1.0789628310106325
46,0.7738819399078994
47,1.2290263216247885
48,1.7077680848950278
49,1.0534955349745192
50,1.0450974601055254
51,0.04685631192382836
52,1.3280308254435464
53,0.6763783118658474
54,1.1569747805807615
55,1.2232645785824188
56,1.021757038131274
57,1.3569377657077115
58,0.6565905439935524
59,1.1205091644971246
60,0.3877774423388697
61,1.1682896726195582
62,0.9103213111393921
63,0.8392483938048447
64,0.67625212537658
65,0.8838580161066595
66,0.6040489782900186
67,0.2571446878904703
68,1.0122028302686474
69,1.021345140182927
70,1.1504352284529322
71,1.0647212572518767
72,1.7419145682098545
73,1.6464495591520263
74,1.2967283906726117
75,1.1030311389331866
76,1.5522773522936861
77,1.8259513285927296
78,1.231259805478763
79,0.9740540476648072
80,1.165346368344797
81,0.1455643247699782
82,1.164841549393407
83,0.5483892795780522
84,1.135263971788121
85,1.1712134323579244
86,1.5909403226613295
87,1.0543665993611484
88,0.6422543935074283
89,0.9923781186525992
90,0.7677070248709975
91,1.5983656110541953
92,0.7529193305212579
93,1.4378475340690908
94,1.7987057978998204
95,1.2319370597763062
96,1.4360883993978018
97,1.1136269906971183
98,1.1180998377889197
99,1.7474530508066743
100,1.7804258620062847
101,1.4452786257775367
102,1.3705501980331507
103,1.112936749107155
104,0.6179452189815414
105,0.8100218194259216
106,0.6727501754381778
107,1.5227288993903514
108,1.0028567546597624
109,1.1227144951867094
110,0.4864629093709596
111,1.0926110459692604
112,0.19417508726730956
113,0.9511812785139535
114,0.3951294729288065
115,0.6815594190681822
116,0.7278462223688233
117,0.8678107542245928
118,0.8524623079086823
119,1.156824272609879
120,1.1556541249888335
121,1.6074531033275519
122,1.5452888122110076
123,0.8384115388267322
124,0.8360172000710279
125,1.2723289469736134
126,1.0987839225747684
127,0.8147599740731855
128,1.3480848730867874
129,0.47827068044016063
130,1.5458770607699557
131,1.4159753186464679
132,0.8653145311986093
133,0.9939768663781781
134,0.5884781233377223
135,1.1887940186720103
136,1.3098305918137259
137,1.017192404087999
138,0.9327454846579926
139,1.2757929519024298
140,0.24501856468596867
141,1.1805549739077041
142,1.4215944420012667
143,0.67710762604842
144,0.8213939445808783
145,0.8506516270828779
146,1.2808590408521485
147,1.7776099819314999
148,0.878173830684242
149,1.0142347814547692
150,0.918170592452812
151,1.0161586739421813
152,0.8574904961421899
153,1.371524779577999
154,0.8694268845546439
155,1.1478946629710858
156,1.529022814662858
157,0.5248255653223042
158,0.860164107204664
159,0.6120142627358918
160,1.644239385583612
161,1.4073767535492019
