,RV
0,0.73441217403888
1,0.5435768422394176
2,-0.08910465321969241
3,0.04734498047764646
4,0.6432562140398659
5,-0.37989098537218524
6,-0.05054551103967242
7,0.11988294110778952
8,0.593684446575935
9,-0.21390635371062672
10,0.45097632858960424
11,0.16923703073553042
12,0.6414473799522966
13,-0.6437350040941965
14,-0.9007772487020702
15,-0.504838067390665
16,0.11016627594653983
17,-0.1442981671571033
18,-1.1728544863071875
19,0.622534722504497
20,0.2331881231366424
21,0.4619701219271519
22,0.1414041610842105
23,0.1721575960473274
24,0.17510366158239776
25,0.41448834983748384
26,0.48864279319968773
27,0.3634348068080726
28,0.49383406199194724
29,-0.3752651263421285
30,0.046318718676047865
31,-0.0034782721268129535
32,0.27595157264295267
33,0.23976873694482492
34,0.4770655609027017
35,0.4727604933796101
36,-0.31837875027849805
37,-0.8236895756272133
38,0.3652888095166418
39,0.6282778609893285
40,0.8127479734830558
41,0.419016695159371
42,-0.0439484771413845
43,0.49480633210623637
44,0.3925264745921595
45,0.5467927530116867
46,0.6939825604131329
47,-0.5498732011619722
48,-0.3563580766203813
49,0.4620737708683009
50,-1.034540198284958
51,0.28217940284957876
52,0.301459979484207
53,-0.21139033675717656
54,-0.4807501651230268
55,0.6082543716038344
56,-0.12624150329065742
57,0.4083312513685087
58,0.9986106013384415
59,0.7529822692231392
60,-0.8415545068564825
61,-0.08305870529875392
62,-0.6622818716423353
63,-1.7235065728236805
64,-0.4502727051949478
65,0.5459724228057894
66,-0.4559779455084936
67,0.5196212855225895
68,-0.7723160258392454
69,1.1343824555005995
70,-0.03872511845838744
71,0.2672226890572347
72,-0.6727083757868968
73,0.8909404507212457
74,0.5837131020307424
75,0.7168937118985923
76,0.2573514314790373
77,-0.6915460690797772
78,-0.13520151951524895
79,0.10662284342106432
80,-0.09075997034960892
81,0.8892655810777796
82,-0.21432086134154815
83,-0.9233015842619352
84,0.1594018515170319
85,-0.8980268205559696
86,0.08880772822158178
87,-0.5938467324594967
88,-0.9338299229129916
89,0.5265576525343931
90,0.5546244894139818
91,-0.35529928280448075
92,-0.16259510255622445
93,0.11915901143220253
94,0.017935419346031267
95,0.5435789358161855
96,-0.4386091489868704
97,-0.7292454944254132
98,0.5032440779468743
99,0.5895481079423917
100,-0.4035771503986325
101,-0.24165907885617344
102,0.43708231687924126
103,-0.12880360172857763
104,-1.0477182479007752
105,0.24506571064557647
106,0.051542933062592056
107,0.40223747488926165
108,0.4432139960335917
109,0.6767162349206046
110,1.1339324455475435
111,-0.44969432586367475
112,-0.6666724137030542
113,0.6751839715871029
114,0.2216472807340324
115,-1.1763238318089861
116,0.04084808255720418
117,-0.43904959600331495
118,-0.7941263904285734
119,-0.050048507648170926
120,0.7629355765384389
121,-0.8787439902007463
122,0.46740496932761744
123,0.8909848034236347
124,0.9488688275087043
125,-0.8842385417810874
126,-0.4195022472049459
127,1.4299351703521097
128,0.30190040179149946
129,-1.5225537731603254
130,0.6030720765338629
131,1.1352173020786722
132,0.5767363315098919
133,0.39587544285313925
134,-1.493670811301854
135,0.25772315564972814
136,0.27102108510007383
137,-0.8122685354319401
138,1.8175499184217188
139,-0.09056867819890613
140,-0.34545263561449246
141,-0.30601799395662965
142,-0.48237070974573726
143,-0.9242926584192901
144,0.1621721666524536
145,0.40968695372430375
146,-0.13012965894449735
147,0.6740030915170792
148,-0.1494800968284835
149,-0.890153369953623
150,-0.1717072441970231
151,-0.4793437681582873
152,-0.2845206124911783
153,-0.24986274191905977
154,-0.17544703522435157
155,0.055024279790814035
156,-0.09522678413486574
157,0.05145879759948002
158,1.8314418077934533
159,0.5617697686611791
160,1.0558451395263546
161,-0.736787774869299
162,-1.233997768467816
163,-0.6951088628047728
164,0.15217468408081913
165,0.013277652200486045
166,0.7203285948489793
167,1.1915533509964007
168,-0.9304975203631329
169,0.5236922343465267
170,0.24385032877034973
171,0.26078695931937546
